知识点ID,场景一级,场景二级,类型,内容,英文,难度,分类标签,创建时间
KB00299,工作,商务会议,单词,建议,suggest,intermediate,"工作,商务会议,单词",2026-01-25
KB00300,工作,商务会议,单词,建议,advise,intermediate,"工作,商务会议,单词",2026-01-25
KB00301,工作,商务会议,单词,环境,environment,intermediate,"工作,商务会议,单词",2026-01-25
KB00302,工作,商务会议,单词,污染,pollution,intermediate,"工作,商务会议,单词",2026-01-25
KB00303,工作,商务会议,单词,回收,recycle,intermediate,"工作,商务会议,单词",2026-01-25
KB00304,工作,商务会议,单词,浪费,waste,intermediate,"工作,商务会议,单词",2026-01-25
KB00305,工作,商务会议,单词,能源,energy,intermediate,"工作,商务会议,单词",2026-01-25
KB00306,工作,商务会议,单词,资源,resource,intermediate,"工作,商务会议,单词",2026-01-25
KB00307,工作,商务会议,单词,气候,climate,intermediate,"工作,商务会议,单词",2026-01-25
KB00308,工作,商务会议,单词,温度,temperature,intermediate,"工作,商务会议,单词",2026-01-25
KB00309,工作,商务会议,单词,全球的,global,intermediate,"工作,商务会议,单词",2026-01-25
KB00310,社交,社区活动,单词,本地的,local,intermediate,"社交,社区活动,单词",2026-01-25
KB00311,社交,网络社交,单词,技术,technology,intermediate,"社交,网络社交,单词",2026-01-25
KB00312,社交,网络社交,单词,电脑,computer,intermediate,"社交,网络社交,单词",2026-01-25
KB00313,社交,网络社交,单词,互联网,internet,intermediate,"社交,网络社交,单词",2026-01-25
KB00314,社交,网络社交,单词,网站,website,intermediate,"社交,网络社交,单词",2026-01-25
KB00315,社交,网络社交,单词,电子邮件,email,intermediate,"社交,网络社交,单词",2026-01-25
KB00316,社交,网络社交,单词,软件,software,intermediate,"社交,网络社交,单词",2026-01-25
KB00317,社交,网络社交,单词,应用程序,application,intermediate,"社交,网络社交,单词",2026-01-25
KB00318,社交,网络社交,单词,设备,device,intermediate,"社交,网络社交,单词",2026-01-25
KB00319,社交,网络社交,单词,数字的,digital,intermediate,"社交,网络社交,单词",2026-01-25
KB00320,社交,网络社交,单词,在线的,online,intermediate,"社交,网络社交,单词",2026-01-25
KB00321,工作,商务会议,单词,文化,culture,intermediate,"工作,商务会议,单词",2026-01-25
KB00322,工作,商务会议,单词,传统,tradition,intermediate,"工作,商务会议,单词",2026-01-25
KB00323,工作,商务会议,单词,习俗,custom,intermediate,"工作,商务会议,单词",2026-01-25
KB00324,工作,商务会议,单词,节日,festival,intermediate,"工作,商务会议,单词",2026-01-25
KB00325,社交,朋友聚会,单词,庆祝,celebrate,intermediate,"社交,朋友聚会,单词",2026-01-25
KB00326,工作,商务会议,单词,仪式,ceremony,intermediate,"工作,商务会议,单词",2026-01-25
KB00327,工作,商务会议,单词,宗教,religion,intermediate,"工作,商务会议,单词",2026-01-25
KB00328,工作,商务会议,单词,语言,language,intermediate,"工作,商务会议,单词",2026-01-25
KB00329,工作,商务会议,单词,沟通,communication,intermediate,"工作,商务会议,单词",2026-01-25
KB00330,工作,商务会议,单词,互动,interaction,intermediate,"工作,商务会议,单词",2026-01-25
KB00331,工作,商务会议,单词,情感,emotion,intermediate,"工作,商务会议,单词",2026-01-25
KB00332,生活,健康医疗,单词,感觉,feeling,intermediate,"生活,健康医疗,单词",2026-01-25
KB00333,工作,商务会议,单词,情绪,mood,intermediate,"工作,商务会议,单词",2026-01-25
KB00334,工作,商务会议,单词,兴奋的,excited,intermediate,"工作,商务会议,单词",2026-01-25
KB00335,工作,商务会议,单词,紧张的,nervous,intermediate,"工作,商务会议,单词",2026-01-25
KB00336,工作,商务会议,单词,焦虑的,anxious,intermediate,"工作,商务会议,单词",2026-01-25
KB00337,工作,商务会议,单词,自信的,confident,intermediate,"工作,商务会议,单词",2026-01-25
KB00338,工作,商务会议,单词,骄傲的,proud,intermediate,"工作,商务会议,单词",2026-01-25
KB00339,工作,商务会议,单词,羞愧的,ashamed,intermediate,"工作,商务会议,单词",2026-01-25
KB00340,工作,商务会议,单词,尴尬的,embarrassed,intermediate,"工作,商务会议,单词",2026-01-25
KB00341,生活,家庭关系,单词,关系,relationship,intermediate,"生活,家庭关系,单词",2026-01-25
KB00342,生活,家庭关系,单词,浪漫的,romantic,intermediate,"生活,家庭关系,单词",2026-01-25
KB00343,生活,家庭关系,单词,婚姻,marriage,intermediate,"生活,家庭关系,单词",2026-01-25
KB00344,生活,家庭关系,单词,婚礼,wedding,intermediate,"生活,家庭关系,单词",2026-01-25
KB00345,生活,家庭关系,单词,离婚,divorce,intermediate,"生活,家庭关系,单词",2026-01-25
KB00346,生活,家庭关系,单词,单身的,single,intermediate,"生活,家庭关系,单词",2026-01-25
KB00347,生活,家庭关系,单词,已婚的,married,intermediate,"生活,家庭关系,单词",2026-01-25
KB00348,工作,商务会议,单词,订婚的,engaged,intermediate,"工作,商务会议,单词",2026-01-25
KB00349,工作,商务会议,单词,分居的,separated,intermediate,"工作,商务会议,单词",2026-01-25
KB00350,工作,商务会议,单词,丧偶的,widowed,intermediate,"工作,商务会议,单词",2026-01-25
KB00351,学习,学术研究,单词,微妙的,nuanced,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00352,学习,学术研究,单词,复杂的,intricate,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00353,学习,学术研究,单词,复杂的,complex,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00354,社交,日常社交,单词,复杂的,sophisticated,upper_intermediate,"社交,日常社交,单词",2026-01-25
KB00355,学习,学术研究,单词,详尽的,elaborate,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00356,学习,学术研究,单词,全面的,comprehensive,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00357,学习,学术研究,单词,彻底的,thorough,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00358,学习,学术研究,单词,详细的,detailed,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00359,学习,学术研究,单词,广泛的,extensive,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00360,学习,学术研究,单词,深刻的,profound,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00361,学习,学术研究,单词,分析,analyze,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00362,学习,学术研究,单词,分析,analysis,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00363,学习,学术研究,单词,评估,evaluate,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00364,学习,学术研究,单词,评估,evaluation,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00365,学习,学术研究,单词,评估,assess,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00366,学习,学术研究,单词,评估,assessment,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00367,学习,考试准备,单词,检查,examine,upper_intermediate,"学习,考试准备,单词",2026-01-25
KB00368,学习,学术研究,单词,调查,investigate,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00369,学习,学术研究,单词,研究,research,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00370,学习,学校课程,单词,学习,study,upper_intermediate,"学习,学校课程,单词",2026-01-25
KB00371,学习,学术研究,单词,策略,strategy,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00372,学习,学术研究,单词,方法,approach,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00373,学习,学术研究,单词,方法,method,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00374,学习,学术研究,单词,技术,technique,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00375,学习,学术研究,单词,程序,procedure,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00376,学习,学术研究,单词,过程,process,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00377,学习,学术研究,单词,系统,system,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00378,工作,商务会议,单词,框架,framework,upper_intermediate,"工作,商务会议,单词",2026-01-25
KB00379,学习,学术研究,单词,结构,structure,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00380,学习,学术研究,单词,组织,organization,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00381,社交,日常社交,单词,实现,achieve,upper_intermediate,"社交,日常社交,单词",2026-01-25
KB00382,学习,学术研究,单词,完成,accomplish,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00383,学习,学术研究,单词,达到,attain,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00384,学习,学术研究,单词,获得,obtain,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00385,学习,学术研究,单词,获得,acquire,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00386,学习,学术研究,单词,获得,gain,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00387,学习,学术研究,单词,赚取,earn,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00388,学习,学术研究,单词,赢得,win,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00389,学习,学术研究,单词,成功,succeed,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00390,学习,学术研究,单词,成功,succeed,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00391,学习,学术研究,单词,影响,influence,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00392,学习,学术研究,单词,影响,impact,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00393,学习,学术研究,单词,效果,effect,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00394,学习,学术研究,单词,影响,affect,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00395,学习,学术研究,单词,后果,consequence,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00396,学习,学术研究,单词,结果,result,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00397,学习,学术研究,单词,结果,outcome,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00398,学习,学术研究,单词,结论,conclusion,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00399,学习,学术研究,单词,总结,summary,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00400,旅行,景点游览,单词,概述,overview,upper_intermediate,"旅行,景点游览,单词",2026-01-25
KB00401,学习,学术研究,单词,贡献,contribute,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00402,学习,学术研究,单词,贡献,contribution,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00403,学习,学术研究,单词,参与,participate,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00404,学习,学术研究,单词,参与,participation,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00405,学习,学术研究,单词,涉及,involve,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00406,学习,学术研究,单词,参与,involvement,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00407,学习,学术研究,单词,参与,engage,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00408,学习,学术研究,单词,参与,engagement,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00409,学习,学术研究,单词,承诺,commit,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00410,学习,学术研究,单词,承诺,commitment,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00411,学习,技能培训,单词,发展,develop,upper_intermediate,"学习,技能培训,单词",2026-01-25
KB00412,学习,技能培训,单词,发展,development,upper_intermediate,"学习,技能培训,单词",2026-01-25
KB00413,学习,技能培训,单词,改善,improve,upper_intermediate,"学习,技能培训,单词",2026-01-25
KB00414,学习,技能培训,单词,改善,improvement,upper_intermediate,"学习,技能培训,单词",2026-01-25
KB00415,学习,技能培训,单词,增强,enhance,upper_intermediate,"学习,技能培训,单词",2026-01-25
KB00416,学习,技能培训,单词,增强,enhancement,upper_intermediate,"学习,技能培训,单词",2026-01-25
KB00417,学习,学术研究,单词,进步,progress,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00418,学习,学术研究,单词,前进,advance,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00419,学习,学术研究,单词,进步,advancement,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00420,学习,学术研究,单词,增长,growth,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00421,学习,学术研究,单词,维持,maintain,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00422,学习,学术研究,单词,维护,maintenance,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00423,学习,学术研究,单词,保存,preserve,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00424,旅行,酒店住宿,单词,保存,preservation,upper_intermediate,"旅行,酒店住宿,单词",2026-01-25
KB00425,学习,学术研究,单词,维持,sustain,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00426,学习,技能培训,单词,可持续性,sustainability,upper_intermediate,"学习,技能培训,单词",2026-01-25
KB00427,学习,学术研究,单词,支持,support,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00428,学习,学术研究,单词,支持的,supportive,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00429,学习,学术研究,单词,维持,maintain,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00430,学习,学术研究,单词,维持,maintain,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00431,学习,学术研究,单词,建立,establish,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00432,学习,学术研究,单词,建立,establishment,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00433,学习,学术研究,单词,建立,found,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00434,学习,学术研究,单词,基础,foundation,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00435,生活,饮食烹饪,单词,创建,create,upper_intermediate,"生活,饮食烹饪,单词",2026-01-25
KB00436,生活,饮食烹饪,单词,创造,creation,upper_intermediate,"生活,饮食烹饪,单词",2026-01-25
KB00437,学习,学术研究,单词,建造,build,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00438,学习,学术研究,单词,建设,construction,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00439,学习,学术研究,单词,设计,design,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00440,学习,学术研究,单词,设计,design,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00441,学习,学术研究,单词,演示,demonstrate,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00442,学习,学术研究,单词,演示,demonstration,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00443,学习,学术研究,单词,说明,illustrate,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00444,学习,学术研究,单词,说明,illustration,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00445,学习,学术研究,单词,解释,explain,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00446,学习,学术研究,单词,解释,explanation,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00447,学习,学术研究,单词,澄清,clarify,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00448,学习,学术研究,单词,澄清,clarification,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00449,学习,学术研究,单词,定义,define,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00450,学习,学术研究,单词,定义,definition,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00451,学习,学术研究,单词,说服,persuade,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00452,学习,学术研究,单词,说服,persuasion,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00453,学习,学术研究,单词,说服,convince,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00454,学习,学术研究,单词,令人信服的,convincing,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00455,学习,学术研究,单词,影响,influence,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00456,学习,学术研究,单词,有影响力的,influential,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00457,学习,学术研究,单词,激励,motivate,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00458,学习,学术研究,单词,动机,motivation,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00459,学习,学术研究,单词,激励,inspire,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00460,学习,学术研究,单词,灵感,inspiration,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00461,学习,学术研究,单词,批评,criticize,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00462,学习,学术研究,单词,批评,criticism,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00463,学习,学术研究,单词,评论,critique,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00464,学习,学术研究,单词,关键的,critical,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00465,学习,学术研究,单词,判断,judge,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00466,学习,学术研究,单词,判断,judgment,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00467,学习,学术研究,单词,评估,evaluate,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00468,学习,学术研究,单词,评估,evaluation,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00469,学习,学术研究,单词,评估,assess,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00470,学习,学术研究,单词,评估,assessment,upper_intermediate,"学习,学术研究,单词",2026-01-25
KB00471,学习,学术研究,单词,异常地,exceptionally,advanced,"学习,学术研究,单词",2026-01-25
KB00472,学习,学术研究,单词,显著地,remarkably,advanced,"学习,学术研究,单词",2026-01-25
KB00473,学习,学术研究,单词,大量地,substantially,advanced,"学习,学术研究,单词",2026-01-25
KB00474,学习,学术研究,单词,相当地,considerably,advanced,"学习,学术研究,单词",2026-01-25
KB00475,学习,学术研究,单词,显著地,significantly,advanced,"学习,学术研究,单词",2026-01-25
KB00476,学习,学术研究,单词,显著地,notably,advanced,"学习,学术研究,单词",2026-01-25
KB00477,学习,学术研究,单词,特别地,particularly,advanced,"学习,学术研究,单词",2026-01-25
KB00478,学习,学术研究,单词,特别地,especially,advanced,"学习,学术研究,单词",2026-01-25
KB00479,学习,学术研究,单词,极端地,extremely,advanced,"学习,学术研究,单词",2026-01-25
KB00480,社交,日常社交,单词,高度地,highly,advanced,"社交,日常社交,单词",2026-01-25
KB00481,学习,学术研究,单词,理解,comprehend,advanced,"学习,学术研究,单词",2026-01-25
KB00482,学习,学术研究,单词,理解,comprehension,advanced,"学习,学术研究,单词",2026-01-25
KB00483,学习,学术研究,单词,感知,perceive,advanced,"学习,学术研究,单词",2026-01-25
KB00484,学习,学术研究,单词,感知,perception,advanced,"学习,学术研究,单词",2026-01-25
KB00485,学习,学术研究,单词,构思,conceive,advanced,"学习,学术研究,单词",2026-01-25
KB00486,学习,学术研究,单词,概念,conception,advanced,"学习,学术研究,单词",2026-01-25
KB00487,学习,学术研究,单词,理解,apprehend,advanced,"学习,学术研究,单词",2026-01-25
KB00488,学习,学术研究,单词,理解,apprehension,advanced,"学习,学术研究,单词",2026-01-25
KB00489,学习,学术研究,单词,掌握,grasp,advanced,"学习,学术研究,单词",2026-01-25
KB00490,学习,学术研究,单词,理解,understanding,advanced,"学习,学术研究,单词",2026-01-25
KB00491,学习,学术研究,单词,表达,articulate,advanced,"学习,学术研究,单词",2026-01-25
KB00492,学习,学术研究,单词,表达,articulation,advanced,"学习,学术研究,单词",2026-01-25
KB00493,学习,学术研究,单词,表达,express,advanced,"学习,学术研究,单词",2026-01-25
KB00494,学习,学术研究,单词,表达,expression,advanced,"学习,学术研究,单词",2026-01-25
KB00495,学习,学术研究,单词,沟通,communicate,advanced,"学习,学术研究,单词",2026-01-25
KB00496,学习,学术研究,单词,沟通,communication,advanced,"学习,学术研究,单词",2026-01-25
KB00497,学习,学术研究,单词,传达,convey,advanced,"学习,学术研究,单词",2026-01-25
KB00498,学习,学术研究,单词,传达,conveyance,advanced,"学习,学术研究,单词",2026-01-25
KB00499,学习,学术研究,单词,传输,transmit,advanced,"学习,学术研究,单词",2026-01-25
KB00500,学习,学术研究,单词,传输,transmission,advanced,"学习,学术研究,单词",2026-01-25
KB00501,学习,学术研究,单词,综合,synthesize,advanced,"学习,学术研究,单词",2026-01-25
KB00502,学习,学术研究,单词,综合,synthesis,advanced,"学习,学术研究,单词",2026-01-25
KB00503,学习,学术研究,单词,整合,integrate,advanced,"学习,学术研究,单词",2026-01-25
KB00504,学习,学术研究,单词,整合,integration,advanced,"学习,学术研究,单词",2026-01-25
KB00505,学习,学术研究,单词,结合,combine,advanced,"学习,学术研究,单词",2026-01-25
KB00506,学习,学术研究,单词,结合,combination,advanced,"学习,学术研究,单词",2026-01-25
KB00507,学习,学术研究,单词,合并,merge,advanced,"学习,学术研究,单词",2026-01-25
KB00508,学习,学术研究,单词,合并,merger,advanced,"学习,学术研究,单词",2026-01-25
KB00509,学习,学术研究,单词,联合,unite,advanced,"学习,学术研究,单词",2026-01-25
KB00510,学习,学术研究,单词,统一,unity,advanced,"学习,学术研究,单词",2026-01-25
KB00511,学习,学术研究,单词,区分,differentiate,advanced,"学习,学术研究,单词",2026-01-25
KB00512,学习,学术研究,单词,区分,differentiation,advanced,"学习,学术研究,单词",2026-01-25
KB00513,学习,学术研究,单词,区分,distinguish,advanced,"学习,学术研究,单词",2026-01-25
KB00514,学习,学术研究,单词,区别,distinction,advanced,"学习,学术研究,单词",2026-01-25
KB00515,学习,学术研究,单词,歧视,discriminate,advanced,"学习,学术研究,单词",2026-01-25
KB00516,学习,学术研究,单词,歧视,discrimination,advanced,"学习,学术研究,单词",2026-01-25
KB00517,学习,学术研究,单词,分离,separate,advanced,"学习,学术研究,单词",2026-01-25
KB00518,学习,学术研究,单词,分离,separation,advanced,"学习,学术研究,单词",2026-01-25
KB00519,学习,学术研究,单词,分割,divide,advanced,"学习,学术研究,单词",2026-01-25
KB00520,学习,学术研究,单词,分割,division,advanced,"学习,学术研究,单词",2026-01-25
KB00521,学习,学术研究,单词,促进,facilitate,advanced,"学习,学术研究,单词",2026-01-25
KB00522,学习,学术研究,单词,促进,facilitation,advanced,"学习,学术研究,单词",2026-01-25
KB00523,学习,学术研究,单词,使能够,enable,advanced,"学习,学术研究,单词",2026-01-25
KB00524,学习,学术研究,单词,使能够,enablement,advanced,"学习,学术研究,单词",2026-01-25
KB00525,学习,学术研究,单词,授权,empower,advanced,"学习,学术研究,单词",2026-01-25
KB00526,学习,学术研究,单词,授权,empowerment,advanced,"学习,学术研究,单词",2026-01-25
KB00527,学习,学术研究,单词,授权,authorize,advanced,"学习,学术研究,单词",2026-01-25
KB00528,学习,学术研究,单词,授权,authorization,advanced,"学习,学术研究,单词",2026-01-25
KB00529,学习,学术研究,单词,允许,permit,advanced,"学习,学术研究,单词",2026-01-25
KB00530,学习,学术研究,单词,许可,permission,advanced,"学习,学术研究,单词",2026-01-25
KB00531,学习,学术研究,单词,优化,optimize,advanced,"学习,学术研究,单词",2026-01-25
KB00532,学习,学术研究,单词,优化,optimization,advanced,"学习,学术研究,单词",2026-01-25
KB00533,学习,学术研究,单词,最大化,maximize,advanced,"学习,学术研究,单词",2026-01-25
KB00534,学习,学术研究,单词,最大化,maximization,advanced,"学习,学术研究,单词",2026-01-25
KB00535,学习,学术研究,单词,最小化,minimize,advanced,"学习,学术研究,单词",2026-01-25
KB00536,学习,学术研究,单词,最小化,minimization,advanced,"学习,学术研究,单词",2026-01-25
KB00537,学习,技能培训,单词,增强,enhance,advanced,"学习,技能培训,单词",2026-01-25
KB00538,学习,技能培训,单词,增强,enhancement,advanced,"学习,技能培训,单词",2026-01-25
KB00539,学习,技能培训,单词,改善,improve,advanced,"学习,技能培训,单词",2026-01-25
KB00540,学习,技能培训,单词,改善,improvement,advanced,"学习,技能培训,单词",2026-01-25
KB00541,学习,学术研究,单词,创新,innovate,advanced,"学习,学术研究,单词",2026-01-25
KB00542,学习,学术研究,单词,创新,innovation,advanced,"学习,学术研究,单词",2026-01-25
KB00543,学习,学术研究,单词,创新的,innovative,advanced,"学习,学术研究,单词",2026-01-25
KB00544,生活,饮食烹饪,单词,创造力,creativity,advanced,"生活,饮食烹饪,单词",2026-01-25
KB00545,生活,饮食烹饪,单词,创造性的,creative,advanced,"生活,饮食烹饪,单词",2026-01-25
KB00546,学习,学术研究,单词,原创性,originality,advanced,"学习,学术研究,单词",2026-01-25
KB00547,学习,学术研究,单词,原始的,original,advanced,"学习,学术研究,单词",2026-01-25
KB00548,娱乐,阅读写作,单词,新颖,novelty,advanced,"娱乐,阅读写作,单词",2026-01-25
KB00549,娱乐,阅读写作,单词,新颖的,novel,advanced,"娱乐,阅读写作,单词",2026-01-25
KB00550,学习,学术研究,单词,独特性,uniqueness,advanced,"学习,学术研究,单词",2026-01-25
KB00551,社交,日常社交,单词,哲学,philosophy,advanced,"社交,日常社交,单词",2026-01-25
KB00552,社交,日常社交,单词,哲学的,philosophical,advanced,"社交,日常社交,单词",2026-01-25
KB00553,学习,学术研究,单词,理论,theory,advanced,"学习,学术研究,单词",2026-01-25
KB00554,学习,学术研究,单词,理论的,theoretical,advanced,"学习,学术研究,单词",2026-01-25
KB00555,学习,学术研究,单词,概念,concept,advanced,"学习,学术研究,单词",2026-01-25
KB00556,学习,学术研究,单词,概念的,conceptual,advanced,"学习,学术研究,单词",2026-01-25
KB00557,学习,学术研究,单词,原则,principle,advanced,"学习,学术研究,单词",2026-01-25
KB00558,学习,学术研究,单词,原则,principles,advanced,"学习,学术研究,单词",2026-01-25
KB00559,学习,学术研究,单词,教义,doctrine,advanced,"学习,学术研究,单词",2026-01-25
KB00560,学习,学术研究,单词,教义的,doctrinal,advanced,"学习,学术研究,单词",2026-01-25
KB00561,学习,学术研究,单词,当代的,contemporary,advanced,"学习,学术研究,单词",2026-01-25
KB00562,学习,学术研究,单词,现代的,modern,advanced,"学习,学术研究,单词",2026-01-25
KB00563,学习,学术研究,单词,当前的,current,advanced,"学习,学术研究,单词",2026-01-25
KB00564,学习,学术研究,单词,现在的,present,advanced,"学习,学术研究,单词",2026-01-25
KB00565,学习,学术研究,单词,最近的,recent,advanced,"学习,学术研究,单词",2026-01-25
KB00566,学习,考试准备,单词,最新的,latest,advanced,"学习,考试准备,单词",2026-01-25
KB00567,社交,约会恋爱,单词,最新的,up-to-date,advanced,"社交,约会恋爱,单词",2026-01-25
KB00568,学习,学术研究,单词,最先进的,state-of-the-art,advanced,"学习,学术研究,单词",2026-01-25
KB00569,学习,学术研究,单词,前沿的,cutting-edge,advanced,"学习,学术研究,单词",2026-01-25
KB00570,学习,学术研究,单词,先进的,advanced,advanced,"学习,学术研究,单词",2026-01-25
KB00571,学习,学术研究,单词,模糊的,ambiguous,advanced,"学习,学术研究,单词",2026-01-25
KB00572,学习,学术研究,单词,模糊性,ambiguity,advanced,"学习,学术研究,单词",2026-01-25
KB00573,学习,学术研究,单词,模糊的,vague,advanced,"学习,学术研究,单词",2026-01-25
KB00574,学习,学术研究,单词,模糊性,vagueness,advanced,"学习,学术研究,单词",2026-01-25
KB00575,学习,学术研究,单词,不清楚的,unclear,advanced,"学习,学术研究,单词",2026-01-25
KB00576,学习,学术研究,单词,清晰,clarity,advanced,"学习,学术研究,单词",2026-01-25
KB00577,学习,学术研究,单词,清楚的,clear,advanced,"学习,学术研究,单词",2026-01-25
KB00578,学习,学术研究,单词,精确的,precise,advanced,"学习,学术研究,单词",2026-01-25
KB00579,学习,学术研究,单词,精确性,precision,advanced,"学习,学术研究,单词",2026-01-25
KB00580,学习,学术研究,单词,准确的,accurate,advanced,"学习,学术研究,单词",2026-01-25
KB00581,学习,学术研究,单词,悖论,paradox,advanced,"学习,学术研究,单词",2026-01-25
KB00582,学习,学术研究,单词,矛盾的,paradoxical,advanced,"学习,学术研究,单词",2026-01-25
KB00583,学习,学术研究,单词,矛盾,contradiction,advanced,"学习,学术研究,单词",2026-01-25
KB00584,学习,学术研究,单词,矛盾的,contradictory,advanced,"学习,学术研究,单词",2026-01-25
KB00585,学习,学术研究,单词,不一致,inconsistency,advanced,"学习,学术研究,单词",2026-01-25
KB00586,学习,学术研究,单词,不一致的,inconsistent,advanced,"学习,学术研究,单词",2026-01-25
